Composer	Title	RISM ID	A number	B number	UTL MMS ID								
"Gagliano, Marco da$d1582-1643$030003811"	CANTO | IL SESTO LIBRO | DE MADRIGALI A CINQVE VOCI | DI MARCO DA GAGLIANO | Maestro di Cappella Del Serenissimo | Gran Duca di Toscana. | AL MOLTO ILL.re SIG.r E PATRON MIO COLLENDISSIMO | IL SIGNOR COSIMO DEL SERA. | Nuonamente [!] Stampati. | [printer's mark] | STAMPA DEL GARDANO IN VENETIA A MDCXVII. | Appresso Bartholomeo Magni.	990019381	G 116										
"Haydn, Joseph$d1732-1809$055803"	"Doctr. Haydn's twelve original ballads for the pianoforte or harpsichord [Dublin, Edmund Lee]"	990026796	H 2633										
"Haydn, Joseph$d1732-1809$055803"	"[vol. 1, title page:] HAYDN'S JAHRESZEITEN | ERSTE ABTHEILUNG. | LES SAISONS | PAR | JOSEPH HAYDN. | PREMIERE PARTIE."	990026708	H 2543										
"Händel, Georg Friedrich$d1685-1759$036552"	"Athalia. An oratorio or sacred drama in score, the music composed in the year 1733 [London, Samuel Arnold; John Longman; Broderip]"	990025736	H 1494										
"Händel, Georg Friedrich$d1685-1759$036552"	"Te Deum [B] in score, composed for His Grace the Duke of Chandos (in the year 1719) [London, Samuel Arnold; John Longman; Broderip]"	990025740	H 1498										
"Händel, Georg Friedrich$d1685-1759$036552"	"A grand Te Deum, composed in the year 1713 for the peace of Utrecht [London, Samuel Arnold; John Longman; Broderip]"	990025741	H 1499										
"Händel, Georg Friedrich$d1685-1759$036552"	"Te Deum, composed in the year 1743 for the victory at Dettingen [London, Samuel Arnold; John Longman; Broderip]"	990025743	H 1501										
"Händel, Georg Friedrich$d1685-1759$036552"	"The musick for the royal fireworks, performed in the year 1749 [London, Samuel Arnold; John Longman; Broderip]"	990025748	H 1506										
"Händel, Georg Friedrich$d1685-1759$036552"	"Samson. A sacred oratorio in score, the words taken from Milton, the musick composed in the year 1742 [London, Samuel Arnold; John Longman; Broderip]"	990025757	H 1515										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem VI|a: As pants the hart] ... Anthem VIII [London, Samuel Arnold; John Longman; Broderip]"	990025772	H 1530										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem IX: O praise the Lord with one consent] ... Anthem XI [London, Samuel Arnold; John Longman; Broderip]"	990025775	H 1533										
"Händel, Georg Friedrich$d1685-1759$036552"	"A third set of lessons for the harpsichord [London, Samuel Arnold; John Longman; Broderip]"	990025790	H 1548										
"Händel, Georg Friedrich$d1685-1759$036552"	"Deborah. A sacred oratorio in score, composed in the year 1739 [London, Samuel Arnold; John Longman; Broderip]"	990025795	H 1553										
"Händel, Georg Friedrich$d1685-1759$036552"	"Anthem. For the victory at Dettingen, composed in the year 1743 [London, Samuel Arnold; John Longman; Broderip]"	990025801	H 1559										
"Händel, Georg Friedrich$d1685-1759$036552"	"Concertos (commonly called the hautboy concertos) for two violins, two hautboys, two german flutes, two tenors, two bassoons, two violoncellos, and a basso continuo, chiefly composed at Cannons, in the year 1720, and published about the year 1729 [op. 3] [London, Samuel Arnold; John Longman; Broderip]"	990025810	H 1568										
"Händel, Georg Friedrich$d1685-1759$036552"	"Two trios, and four cantatas, in score [London, Samuel Arnold; John Longman; Broderip]"	990025811	H 1569										
"Händel, Georg Friedrich$d1685-1759$036552"	"Thirteen chamber duetto's and twelve cantatas [London, Samuel Arnold; John Longman; Broderip]"	990025812	H 1570										
"Händel, Georg Friedrich$d1685-1759$036552"	"Sosarme. Opera in tre atti, rappresentata al Teatro del Re nel Mercato del Fieno a Londra nell'anno 1732 [London, Samuel Arnold; John Longman; Broderip]"	990025746	H 1504										
"Händel, Georg Friedrich$d1685-1759$036552"	"Seven sonatas or trios [op. 5] for two violins or two german flutes and a violoncello, composed and published in the year 1739 [London, Samuel Arnold; John Longman; Broderip]"	990025756	H 1514										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem III: Have mercy upon me] ... Anthem IV [London, Samuel Arnold; John Longman; Broderip]"	990025768	H 1526										
"Händel, Georg Friedrich$d1685-1759$036552"	"[Anthem X: The Lord is my light] ... Anthem IX [London, Samuel Arnold; John Longman; Broderip]"	990025773	H 1531										
"Händel, Georg Friedrich$d1685-1759$036552"	"The occasional oratorio in score, composed in the year 1745 [London, Samuel Arnold; John Longman; Broderip]"	990025781	H 1539										
"Händel, Georg Friedrich$d1685-1759$036552"	"A second set of six concertos, in score, for the organ or harpsichord, with accompanyments for two violins, two hautboys, viola & violoncello ...concerto I-VI [op. 7] [London, Samuel Arnold; John Longman; Broderip]"	990025787	H 1545										
"Händel, Georg Friedrich$d1685-1759$036552"	"A second set of lessons for the harpsichord [London, Samuel Arnold; John Longman; Broderip]"	990025789	H 1547										
"Händel, Georg Friedrich$d1685-1759$036552"	"La resurrezione. Oratorio sacro in partizione [London, Samuel Arnold; John Longman; Broderip]"	990025808	H 1566										
"Händel, Georg Friedrich$d1685-1759$036552"	"The works of Handel, in score, correct, uniform, and complete. Consisting of his oratorios, operas, duets, anthems, concertos, lessons, Te Deums, trios, fugues &c. Elegantly engraved, on large folio plates, under the immediate direction of Dr. Arnold [[London], S. Arnold; L. Longman; Broderip]"	990025735	H 1493										
"Händel, Georg Friedrich$d1685-1759$036552"	"Symphony to the Jubilate [London, Samuel Arnold; John Longman; Broderip]"	990025744	H 1502										
"Händel, Georg Friedrich$d1685-1759$036552"	"The celebrated water musick in score, composed in the year 1716 [London, Samuel Arnold; John Longman; Broderip]"	990025747	H 1505										
"Händel, Georg Friedrich$d1685-1759$036552"	"Acis and Galatea. A serenata, composed for the Duke of Chandos in the year 1720 [London, Samuel Arnold; John Longman; Broderip]"	990025750	H 1508										
"Händel, Georg Friedrich$d1685-1759$036552"	"An ode or serenata for the birthday of Queen Ann, composed in the year 1713 [London, Samuel Arnold; John Longman; Broderip]"	990025758	H 1516										
