UTL Catkey	100	245	260	300	RISM A number	RISM B number	RISM ID	Correct A number	Correct B number	CDN-Tu?	Notes	RISM ID no	[ACTUAL NUMBERS]	New 510
883781	"Hook,Mr.(James),1746-1827."	"10$aSix sonatas for the piano forte or harpsichord :$bwith an accompaniment for a German flute, or violin ... /$ccomposed by Mr. Hook ; op. 54 ..."	"\\$aLondon :$aPrinted by J. Preston,$c[1788]"	27 p. of music.	H 7340		990031355			No		RISM ID no. 	990031355	RISM ID no. 990031355
912960	"Nicolai, Valentino,active 1775-1798"	10$aSix sonatas for the piano forte :$bwith an accompaniment for a violin /$ccomposed ... by Valentino Niccolai ; op. III.	"\\$aEdinburgh :$bPrinted and sold by Willm. Whyte ...,$c[between 1799 and 1809]"	33 p. of music.			not in RISM							
913296	"Ross, John,1763-1837."	14$aThe 42d Regt's return from Egypt :$ba grand march for the piano-forte /$ccomposed by John Ross ...	"\\$aEdinburgh :$bPrinted & sold by J. Hamilton ...,$c[between 1795 and 1810]"	"2, [1] p. of music."	R 2710		990056033			No		RISM ID no. 	990056033	RISM ID no. 990056033
913391	"Watlen, John"	10$aLady Madelina Sinclair :$ba favorite strathspey : set with variations for the piano forte or harpsd. ... /$ccomposed by John Watlen.	"\\$aEdinburgh :$bPrinted by J. Hamilton ...,$c[between 1795 and 1810]"	3 p. of music.			not in RISM							
913442	"Watlen, John"	10$aUp and war them a' Willie :$ba favourite air with variations for the piano-forte or harpsichord ... /$ccomposed by John Watlen.	"\\$aGlasgow :$bJ. McFayden ...,$c[between 1790 and 1826]"	3 p. of music.			not in RISM							
913475	"Kotzwara, Franz,-1791"	14$aThe battle of Prague /$ccomposed by F. Kotzwara.	"\\$aGlasgow :$bPrinted & sold at McFayden's Wholesale Music & Stationary Warehouse,$c[between 1790 and 1826]"	8 p. of music.			Not in RISM							
913792	"Urbani, Pietro,1749-1816."	10$aMy love she's but a lassie yet :$ba Scotch song.	"\\$aGlasgow :$bSold by John McFadyen ...,$c[between 1790 and 1826]"	p. 54-55 of music.			Not in RISM							
913805	"McIntyre,Mr."	"10$aNiel Gow :$ba favorite quick step : as perform'd by the band of the Royal Edinburgh Volunteers, and danced at all the public places /$ccomposed by Mr. McIntyre."	"\\$aGlasgow :$bPrinted and sold by J. McFadyen ...,$c[between 1790 and 1826]"	p. 24-25 of music.			Not in RISM				No RISM A or B number			
913814		04$aThe London or Berkshire march.	"\\$aGlasgow :$bJ. McFadyen ...,$c[between 1790 and 1826]"	2 p. of music.			Not in RISM				No RISM A or B number			
913821		04$aThe Lady's favourite.	"\\$aGlasgow :$bPrinted & sold by J. McFadyen ...,$c[between 1790 and 1826]"	2 p. of music.	AN 1457		990071548			No		RISM ID no. 	990071548	RISM ID no. 990071548
914918		00$aMy ain kind dearie :$bwith variations.	"\\$aGlasgow :$bPrinted and sold by John McFadyen ...,$c[between 1790 and 1826]"	3 p. of music	AN 1877		990071895			no		RISM ID no. 	990071895	RISM ID no. 990071895
931606	"Hoffmeister, Franz Anton,1754-1812."	"10$aTrois grands quatuors concertants pour deux violons, alto et violoncelle /$ccomposés ... par ... François Ant. Hoffmeister ; oeuvre XVI des quatuors pour violon."	"\\$aÀ Vienne :$bChez Hoffmeister ;$aÀ Leipsic :$bAu bureau de Musique de Hoffmeister & Kühnel,$c[18--]"	4 parts.	H 5944		990030017			no		RISM ID no. 	990030017	RISM ID no. 990030017
1136754	"Martini, Johann Paul Aegidius,1741-1816."	"10$aMélopée moderne,$boù, L'art du chant, réduit en principes /$ccomposé ... par Mr. Martini ; cet ouvrage qui traite généralement de l'exécution de la musique, est également utile aux personnes qui apprennent á s'accompagner sur le forte-piano ; on y trouvera aussi la vrai maniere d'accorder le piano et la harpe."	"0\$aA Paris :$bChez M. Boyer ... ;$aA Lyon :$bChez Mr. Garnier ...,$c[1792?]"	88 p. :music.	M 1167 	"VI, 553"	990039873			no		RISM ID no. 	990039873	RISM ID no. 990039873
1136758	"Kreutzer, Rodolphe,1766-1831."	"10$aFrançois Ier.,$bou, La fête mistérieuse : opéra en deux actes et en vers /$cde MMrs. Sewrin et Chazet ; mis en musique ... par R. Kreutzer ..."	"0\$aA Paris :$bAu Magasin de musique dirigé par MMrs. Chérubini, Méhul, Kreutzer, Rode, N. Isouard et Boieldieu ...,$c[1807?]"	"1 score ([4], 172 p.)"	K 2062		990034848			no		RISM ID no. 	990034848	RISM ID no. 990034848
1136764	"Berton, H.(Henri),1767-1844."	13$aLe concert interrompu :$bopera comique en un acte /$cde MM Marsollier et Favieres ; mis en musique ... par H. Berton ... ; représenté sur le Théâtre Faydeau le 11 prairial an 10 (31 mai vieux style).	"0\$aParis :$bChez les frères Gaveaux ...,$c[1802?]"	"1 score ([3], 153 p.)"	B 2229		990005018			no		RISM ID no. 	990005018	RISM ID no. 990005018
1136893	"Kreutzer, Rodolphe,1766-1831."	"10$aJadis et aujourd'hui :$bopéra-bouffon en un acte /$cparoles de M. Sewrin ; musique de Mr. R. Kreutzer ... ; représenté pour la première fois à Paris, sur le Théǎtre de l'Opéra comique par MM. les Comédiens ordinaires de S.M. l'Empereur et Roi le 29 octobre 1808 ..."	"0\$aÀ Paris :$bAu Magasin de musique dirigé par Messieurs Chérubini, Méhul, Kreutzer, Rode et Boieldieu ...,$c[1808?]"	"1 score ([3], 128 p.)"	K 2068		990034854			no		RISM ID no. 	990034854	RISM ID no. 990034854
1137880	"Steibelt, Daniel,1765-1823."	"13$aLe retour du Zephir :$ba favorite ballet for the piano forte, with or without additional keys, and accompaniments for a violin & tambourine /$ccomposed by D. Steibelt."	"0\$aLondon :$bPrinted by Goulding, Phipps D'Almaine & Co. ...,$c[between 1806 and 1810]"	"[1], 16 p. of music."	SS 4776		991003020	"SS 4776a, SS 4776b"		No		RISM ID no. 	991003020	RISM ID no. 991003020
1138047	"Gérard, Henri-Philippe,1760-1848"	"10$aMethode de chant,$bou, Etudes du solfège et de la vocalisation /$cpar Mr. Gérard ..."	"0\$aA Paris :$bChez MM. Pleyel ..., Momigny ..., Nadermann ...,$c[1816]"	1 score (2 pts. in 1)	G 1612		990020805			no		RISM ID no. 	990020805	RISM ID no. 990020805
